t,U
0.00539,-1.68742861
0.00540,-0.62575941
0.00541,0.69745741
0.00542,-0.46973286
0.00543,-1.69987108
0.00544,-0.43458239
0.00545,0.69465430
0.00546,-0.66068634
0.00547,-1.68184023
0.00548,-0.24506680
0.00549,0.66151037
0.00550,-0.84755884
0.00551,-1.63379399
0.00552,-0.06202579
0.00553,0.59886736
0.00554,-1.02560433
0.00555,-1.55695259
0.00556,0.10989191
0.00557,0.50831624
0.00558,-1.19030096
0.00559,-1.45326760
0.00560,0.26632010
0.00561,0.39215675
0.00562,-1.33746590
0.00563,-1.32537231
0.00564,0.40328592
0.00565,0.25333901
0.00566,-1.46336159
0.00567,-1.17651491
0.00568,0.51731085
0.00569,0.09538859
0.00570,-1.56479062
0.00571,-1.01047595
0.00572,0.60549896
0.00573,-0.07768301
0.00574,-1.63917699
0.00575,-0.83147234
0.00576,0.66561054
0.00577,-0.26148027
0.00578,-1.68463150
0.00579,-0.64405028
0.00580,0.69611891
0.00581,-0.45133524
0.00582,-1.69999972
0.00583,-0.45296975
0.00584,0.69624925
0.00585,-0.64242617
0.00586,-1.68489136
0.00587,-0.26308366
0.00588,0.66599826
0.00589,-0.82989987
0.00590,-1.63969011
0.00591,-0.07921456
0.00592,0.60613422
0.00593,-1.00899506
0.00594,-1.56554397
0.00595,0.09396777
0.00596,0.51817750
0.00597,-1.17516321
0.00598,-1.46433603
0.00599,0.25206501
0.00600,0.40436197
0.00601,-1.32418413
0.00602,-1.33863670
0.00603,0.39106193
0.00604,0.26757820
0.00605,-1.45227311
0.00606,-1.19163837
0.00607,0.50742841
0.00608,0.11130013
0.00609,-1.55617706
0.00610,-1.02707438
0.00611,0.59820906
0.00612,-0.06050324
0.00613,-1.63325710
0.00614,-0.84912421
0.00615,0.66109831
0.00616,-0.24346857
0.00617,-1.68155563
0.00618,-0.66230726
0.00619,0.69449896
0.00620,-0.43294908
0.00621,-1.69984599
0.00622,-0.47136817
0.00623,0.69756272
0.00624,-0.62413249
0.00625,-1.68766367
0.00626,-0.28115625
0.00627,0.67021179
0.00628,-0.81216329
0.00629,-1.64531806
0.00630,-0.09650235
0.00631,0.61314080
0.00632,-0.99226602
0.00633,-1.57388462
0.00634,0.07790387
0.00635,0.52779918
0.00636,-1.15986659
0.00637,-1.47517756
0.00638,0.23763296
0.00639,0.41635438
0.00640,-1.31070843
0.00641,-1.35170375
0.00642,0.37862827
0.00643,0.28163678
0.00644,-1.44096057
0.00645,-1.20659908
0.00646,0.49730891
0.00647,0.12706782
0.00648,-1.54731497
0.00649,-1.04354880
0.00650,0.59066074
0.00651,-0.04342688
0.00652,-1.62707055
0.00653,-0.86669392
0.00654,0.65631287
0.00655,-0.22551724
0.00656,-1.67820173
0.00657,-0.68052605
0.00658,0.69259794
0.00659,-0.41457869
0.00660,-1.69940993
0.00661,-0.48977334
0.00662,0.69859440
0.00663,-0.60580960
0.00664,-1.69015652
0.00665,-0.29928035
0.00666,0.67414996
0.00667,-0.79435324
0.00668,-1.65067651
0.00669,-0.11388507
0.00670,0.61988545
0.00671,-0.97542115
0.00672,-1.58197258
0.00673,0.06170398
0.00674,0.53717901
0.00675,-1.14441471
0.00676,-1.48578961
0.00677,0.22302734
0.00678,0.42813118
0.00679,-1.29704196
0.00680,-1.36457039
0.00681,0.36598786
0.00682,0.29551144
0.00683,-1.42942661
0.00684,-1.22139352
0.00685,0.48695475
0.00686,0.14268797
0.00687,-1.53820645
0.00688,-1.05989531
0.00689,0.58285578
0.00690,-0.02645795
0.00691,-1.62061880
0.00692,-0.88417734
0.00693,0.65125535
0.00694,-0.20763050
0.00695,-1.67457060
0.00696,-0.69870236
0.00697,0.69041629
0.00698,-0.39622840
0.00699,-1.69869165
0.00700,-0.50818090
0.00701,0.69934404
0.00702,-0.58746181
0.00703,-1.69236933
0.00704,-0.31745167
0.00705,0.67781185
0.00706,-0.77647394
0.00707,-1.65576420
0.00708,-0.13135865
0.00709,0.62636658
0.00710,-0.95846441
0.00711,-1.58980595
0.00712,0.04537192
0.00713,0.54631479
0.00714,-1.12881119
0.00715,-1.49616971
0.00716,0.20825159
0.00717,0.43968958
0.00718,-1.28318794
0.00719,-1.37723359
0.00720,0.35314369
0.00721,0.30919891
0.00722,-1.41767395
0.00723,-1.23601822
0.00724,0.47636835
0.00725,0.15815689
0.00726,-1.52885363
0.00727,-1.07611008
0.00728,0.57479603
0.00729,-0.00960045
0.00730,-1.61390336
0.00731,-0.90157037
0.00732,0.64592693
0.00733,-0.18981255
0.00734,-1.67066309
0.00735,-0.71683192
0.00736,0.68795454
0.00737,-0.37790254
0.00738,-1.69769131
0.00739,-0.52658655
0.00740,0.69981147
0.00741,-0.56909345
0.00742,-1.69430156
0.00743,-0.33566595
0.00744,0.68119660
0.00745,-0.75852958
0.00746,-1.66057994
0.00747,-0.14891898
0.00748,0.63258268
0.00749,-0.94139980
0.00750,-1.59738287
0.00751,0.02891153
0.00752,0.55520437
0.00753,-1.11305971
0.00754,-1.50631540
0.00755,0.19330919
0.00756,0.45102687
0.00757,-1.26914964
0.00758,-1.38969037
0.00759,0.34009876
0.00760,0.32269598
0.00761,-1.40570536
0.00762,-1.25046973
0.00763,0.46555221
0.00764,0.17347094
0.00765,-1.51925872
0.00766,-1.09218928
0.00767,0.56648336
0.00768,0.00714165
0.00769,-1.60692581
0.00770,-0.91886891
0.00771,0.64032887
0.00772,-0.17206760
0.00773,-1.66648012
0.00774,-0.73491045
0.00775,0.68521325
0.00776,-0.35960540
