t,U
0.00462,0.36833805
0.00463,1.41025048
0.00464,0.57376292
0.00465,-1.29820694
0.00466,-0.74375926
0.00467,1.48877268
0.00468,0.70955349
0.00469,-1.11973001
0.00470,-0.23434766
0.00471,1.61841494
0.00472,-0.02273540
0.00473,-0.82375352
0.00474,0.65976615
0.00475,1.24807512
0.00476,-0.26440821
0.00477,-1.18993036
0.00478,0.92424465
0.00479,0.86493315
0.00480,-0.49334346
0.00481,-0.91164523
0.00482,1.33910638
0.00483,1.39654529
0.00484,-1.28553705
0.00485,-0.89777269
0.00486,1.38243756
0.00487,1.12333634
0.00488,-1.31641676
0.00489,-0.58470274
0.00490,1.10391003
0.00491,0.85187985
0.00492,-1.58395826
0.00493,-0.86295828
0.00494,0.89303187
0.00495,0.24494697
0.00496,-1.04690068
0.00497,-0.45283860
0.00498,1.12202536
0.00499,-0.00305762
0.00500,-1.08074579
0.00501,0.15841701
0.00502,1.32201696
0.00503,0.63768246
0.00504,-0.74983635
0.00505,0.21138282
0.00506,0.82469806
0.00507,-1.00360575
0.00508,-1.54570097
0.00509,0.31936007
0.00510,0.71722893
0.00511,-0.86726957
0.00512,-1.56451262
0.00513,0.26958569
0.00514,0.88917760
0.00515,-0.70672050
0.00516,-0.25864415
0.00517,0.69204857
0.00518,0.55900640
0.00519,-0.54020365
0.00520,-0.96127592
0.00521,0.81302564
0.00522,0.59873889
0.00523,-0.65568252
0.00524,-0.85189745
0.00525,1.31667698
0.00526,0.85189973
0.00527,-0.56383015
0.00528,-0.35429701
0.00529,0.43208188
0.00530,0.32278855
0.00531,-0.93285747
0.00532,-0.41597197
0.00533,0.72759614
0.00534,1.44305030
0.00535,-1.16549485
0.00536,0.27533468
0.00537,0.77691825
0.00538,0.14233404
0.00539,-1.27930802
0.00540,-0.20432086
0.00541,1.00146614
0.00542,-0.03587300
0.00543,-1.46887329
0.00544,1.06018708
0.00545,1.77599459
0.00546,-0.43183788
0.00547,-1.51833435
0.00548,0.65358634
0.00549,-0.50535104
0.00550,-0.35243636
0.00551,-0.85836164
0.00552,0.53340507
0.00553,0.25612465
0.00554,-0.05307359
0.00555,-0.82896620
0.00556,1.04205693
0.00557,-0.07606961
0.00558,0.05396707
0.00559,-1.28813494
0.00560,1.16110663
0.00561,1.02647408
0.00562,-0.68993099
0.00563,-1.21591338
0.00564,1.26796499
0.00565,0.88745611
0.00566,-0.46184039
0.00567,-1.21809522
0.00568,1.20142124
0.00569,0.45846841
0.00570,-0.98228770
0.00571,-0.66293777
0.00572,0.63081721
0.00573,0.06382542
0.00574,-0.29940750
0.00575,-0.85909784
0.00576,1.75415481
0.00577,0.95050557
0.00578,-1.66736309
0.00579,-0.35800177
0.00580,1.23089117
0.00581,0.74359969
0.00582,-1.64955353
0.00583,0.11962064
0.00584,0.40728531
0.00585,1.17090730
0.00586,-0.63962841
0.00587,-0.57425183
0.00588,1.53848692
0.00589,-0.05823175
0.00590,-0.82954718
0.00591,0.46607335
0.00592,1.36190345
0.00593,-0.96537646
0.00594,-0.69707179
0.00595,1.12681926
0.00596,0.62828685
0.00597,-0.35328240
0.00598,-0.69610282
0.00599,1.13065778
0.00600,0.92868330
0.00601,-1.02012408
0.00602,-1.01604684
0.00603,1.79573641
0.00604,0.59865599
0.00605,-1.42035958
0.00606,-1.48573398
0.00607,1.51501184
0.00608,0.72038261
0.00609,-0.14384204
0.00610,-0.88761402
0.00611,0.72167167
0.00612,0.87052154
0.00613,-1.10830386
0.00614,-0.58337619
0.00615,1.20231765
0.00616,0.14196076
0.00617,-0.74193452
0.00618,-0.17690996
0.00619,0.85698287
0.00620,0.60544022
0.00621,-1.13905124
0.00622,0.89855482
0.00623,1.28350047
0.00624,-1.07494692
0.00625,-0.89755348
0.00626,-0.63585227
0.00627,1.01542247
0.00628,-1.23246793
0.00629,-1.15758183
0.00630,-0.22449229
0.00631,1.30840711
0.00632,-0.49056141
0.00633,-1.05489905
0.00634,-0.15546785
0.00635,0.98686033
0.00636,-1.18155553
0.00637,-0.48016037
0.00638,1.20706898
0.00639,1.31410543
0.00640,-0.07177830
0.00641,-0.69989915
0.00642,1.54443330
0.00643,1.52102878
0.00644,-1.37612901
0.00645,-0.79162221
0.00646,1.40307903
0.00647,0.17233188
0.00648,-0.62884113
0.00649,-0.58219368
0.00650,1.28983764
0.00651,0.80150617
0.00652,-1.10067541
0.00653,-1.52160835
0.00654,1.89442406
0.00655,0.95525694
0.00656,-1.11817393
0.00657,-1.05503051
0.00658,1.76361953
0.00659,-0.16400268
0.00660,-1.23554407
0.00661,0.44656021
0.00662,0.58201695
0.00663,0.96899914
0.00664,-1.43599850
0.00665,-0.40615210
0.00666,2.00147596
0.00667,-0.50919782
0.00668,-0.56512762
0.00669,-0.03103342
0.00670,1.17225135
0.00671,-0.68815678
0.00672,-1.99294785
0.00673,0.74452143
0.00674,1.54811998
0.00675,-0.46246312
0.00676,-0.64424511
0.00677,0.77463132
0.00678,0.66417983
0.00679,-0.23322236
0.00680,-0.57126894
0.00681,0.87547049
0.00682,1.31538184
0.00683,-1.05236091
0.00684,-0.92362484
0.00685,1.15972313
0.00686,0.21031116
0.00687,-0.65110441
0.00688,-0.29305496
0.00689,0.04684552
0.00690,1.06288400
0.00691,0.12478178
0.00692,-0.61776305
0.00693,1.43289258
0.00694,0.90223646
0.00695,-1.14441805
0.00696,0.42710741
0.00697,1.63338930
0.00698,-0.49783414
0.00699,-0.89881217
0.00700,-0.78159007
0.00701,1.78119578
0.00702,-0.44714485
0.00703,-0.75451738
0.00704,0.10767837
0.00705,1.78174082
0.00706,-0.56297321
0.00707,-1.56089042
0.00708,0.09534268
0.00709,1.01039262
0.00710,-0.40391608
0.00711,-0.40069794
0.00712,0.53650874
0.00713,1.25126821
0.00714,-0.13297679
0.00715,-1.08253642
0.00716,1.14923259
0.00717,1.56421786
0.00718,-0.75094126
0.00719,-1.42225085
0.00720,0.20502203
0.00721,1.31206365
0.00722,-1.32658954
0.00723,-1.59929636
0.00724,1.60752727
0.00725,0.96918459
0.00726,-0.95139888
0.00727,0.29776563
0.00728,0.91805279
0.00729,0.81470200
0.00730,-1.03214073
0.00731,-0.22433999
0.00732,0.66670717
0.00733,1.00174707
0.00734,-1.44034324
0.00735,-0.03266696
0.00736,0.66922296
0.00737,-0.42321313
0.00738,-1.19583175
0.00739,0.35487023
0.00740,0.80175615
0.00741,-0.09060148
0.00742,-1.42375183
0.00743,0.07967564
0.00744,1.51923149
0.00745,-0.41232309
0.00746,-0.39067304
0.00747,0.40635877
0.00748,1.39617848
0.00749,-0.45708248
0.00750,-1.10723888
0.00751,0.31555267
0.00752,1.64192643
0.00753,-0.63116189
0.00754,-1.79676113
0.00755,0.86896683
0.00756,0.90189027
0.00757,-0.46932290
0.00758,-1.09218573
0.00759,0.67654915
0.00760,1.21477771
0.00761,-1.08876604
0.00762,-0.36800796
0.00763,1.25760514
0.00764,0.78168838
0.00765,-1.66453755
0.00766,-1.22064881
0.00767,-0.24643464
0.00768,0.49100717
0.00769,-1.42541438
0.00770,-1.05590223
0.00771,0.97746420
0.00772,0.31902153
0.00773,-1.58467495
0.00774,-0.60772425
0.00775,1.64974927
0.00776,0.37583169
0.00777,-2.17189457
0.00778,-0.19290760
0.00779,0.74832423
0.00780,-0.50612490
0.00781,-1.72725585
0.00782,0.38457518
0.00783,1.02830523
0.00784,-0.45219054
0.00785,-1.40168108
0.00786,0.09736355
0.00787,1.16747149
0.00788,-0.29743802
0.00789,-1.52434275
0.00790,0.44013298
0.00791,0.83704116
0.00792,-0.05317194
0.00793,-1.03332626
0.00794,0.10570823
0.00795,0.40562215
0.00796,-1.56651817
0.00797,-1.09077604
0.00798,0.20574584
0.00799,-0.27175910
0.00800,-0.09708818
0.00801,-1.07883118
0.00802,1.47462430
0.00803,0.73665459
0.00804,-0.27510485
0.00805,0.14834921
0.00806,1.71457274
0.00807,1.28573623
0.00808,-0.65703366
0.00809,-0.43733442
0.00810,0.39254895
0.00811,0.13545323
0.00812,-0.74848417
0.00813,-0.12493778
0.00814,0.68952057
0.00815,-0.63865374
0.00816,-1.12252522
0.00817,0.21986130
0.00818,1.10363043
0.00819,1.01588392
0.00820,-1.09168719
0.00821,0.76497668
0.00822,1.37563761
0.00823,0.07294281
0.00824,-1.87679280
0.00825,0.40155704
0.00826,1.51871795
0.00827,0.02356861
0.00828,-1.15194451
0.00829,0.82075512
0.00830,1.29772149
0.00831,-0.40389677
0.00832,-0.79998734
0.00833,1.33675401
0.00834,1.39504058
0.00835,-0.79578489
0.00836,-1.36112401
0.00837,1.53218353
0.00838,0.92974253
0.00839,-1.56509512
0.00840,-0.66012194
0.00841,1.26949388
0.00842,0.46127182
0.00843,-1.78593633
0.00844,-0.98059511
0.00845,0.90930343
0.00846,0.47815371
0.00847,-1.26623461
0.00848,-1.36060337
0.00849,1.64405992
0.00850,0.92803643
0.00851,-0.84454829
0.00852,0.01277163
0.00853,0.61445197
0.00854,-0.15643228
0.00855,-0.14505945
0.00856,-0.63929266
0.00857,1.91137181
0.00858,-0.72104795
0.00859,-0.92737671
0.00860,-0.62440424
0.00861,0.82788247
0.00862,-0.61210983
0.00863,-1.59657667
0.00864,-0.16076184
0.00865,1.33455167
0.00866,-0.60238513
0.00867,-1.28589406
0.00868,1.69404800
0.00869,0.46807572
0.00870,0.02761545
0.00871,-1.00584973
0.00872,0.83797287
0.00873,0.59921123
0.00874,-0.85581670
0.00875,-1.30404721
0.00876,1.43020791
0.00877,1.89878850
0.00878,-1.93225529
0.00879,-0.77881203
0.00880,1.07040723
0.00881,0.35099880
0.00882,-1.20074204
0.00883,-1.37817949
0.00884,1.40370635
0.00885,1.03919494
0.00886,-1.42892977
0.00887,-0.60439329
0.00888,0.27258019
0.00889,1.11355285
0.00890,0.35774271
0.00891,0.09218992
0.00892,1.27007873
0.00893,0.23735119
0.00894,-0.91541376
0.00895,-0.05624607
0.00896,1.17320091
0.00897,0.15684871
0.00898,-0.83765500
0.00899,0.62510761
0.00900,1.75000228
0.00901,-0.58051759
0.00902,-1.44054133
0.00903,0.91886732
0.00904,0.55944751
0.00905,-0.83090038
0.00906,-1.28889118
0.00907,1.08575913
0.00908,1.20658906
0.00909,0.16952355
0.00910,-1.33967879
0.00911,0.90217827
0.00912,0.08380434
0.00913,-0.33274706
0.00914,-0.83292619
0.00915,-0.24096121
0.00916,1.22616769
0.00917,-1.02802485
0.00918,-0.98901331
0.00919,1.34244408
0.00920,1.02628869
0.00921,-1.47041066
0.00922,-0.52471508
0.00923,0.78829358
0.00924,0.70466686
0.00925,-0.65823960
0.00926,-0.23847350
0.00927,0.97274605
0.00928,0.37753021
0.00929,-0.33570112
0.00930,-0.43705034
0.00931,0.44507571
0.00932,-0.38115459
0.00933,-1.25172617
0.00934,-0.25413607
0.00935,0.79196010
0.00936,-0.58496076
0.00937,-1.47881087
0.00938,0.05767496
0.00939,1.67177043
0.00940,0.99056121
0.00941,-0.73077094
0.00942,0.35376736
0.00943,1.56476778
0.00944,-0.45605534
0.00945,-1.45491876
0.00946,0.48717665
0.00947,1.36879545
0.00948,-0.29625701
0.00949,-0.74786607
0.00950,0.39223552
0.00951,1.25085352
0.00952,0.20757149
0.00953,-0.74116034
0.00954,0.62348536
0.00955,1.42886647
0.00956,-0.87854102
0.00957,-1.22780319
0.00958,1.48060828
0.00959,0.92573882
0.00960,-0.64134160
0.00961,-0.22346099
0.00962,0.23196664
0.00963,1.41239578
0.00964,-0.88968859
0.00965,-0.30049631
0.00966,1.49959934
0.00967,0.70956325
0.00968,-1.30259267
0.00969,-0.92247892
0.00970,0.77502840
0.00971,0.14989060
0.00972,-0.95169803
0.00973,-0.29922662
0.00974,1.59606520
0.00975,-0.51462552
0.00976,-1.39929868
0.00977,-0.14441353
0.00978,1.60894198
0.00979,0.01151969
0.00980,-1.53870324
0.00981,-0.44088363
0.00982,0.41877710
0.00983,-1.23212957
0.00984,-1.43725992
0.00985,0.32712176
0.00986,0.47218716
0.00987,0.50934288
0.00988,-0.04865391
0.00989,1.42244185
0.00990,0.75380548
0.00991,-0.50382020
0.00992,-0.59411006
0.00993,0.65174575
0.00994,2.24756900
0.00995,-0.06495089
0.00996,-0.51001507
0.00997,1.38713024
0.00998,0.03434262
0.00999,-1.07886299
0.01000,-0.77076726
0.01001,0.53321739
0.01002,1.05496861
0.01003,-1.14882136
0.01004,-0.95545291
0.01005,0.71762900
0.01006,0.64372572
0.01007,-1.11080534
0.01008,-0.30008471
0.01009,1.55334753
0.01010,-0.26439898
0.01011,-1.26961972
0.01012,0.53778458
0.01013,1.19539100
0.01014,0.34683531
0.01015,-0.33578701
0.01016,-0.49300463
0.01017,1.32204721
0.01018,-0.36084528
0.01019,-1.11760766
0.01020,0.45365595
0.01021,1.62804876
0.01022,-0.55247952
0.01023,-1.29240594
0.01024,0.27503651
0.01025,1.21594024
0.01026,-0.07500524
0.01027,-1.87174532
0.01028,0.85801770
0.01029,0.86968964
0.01030,-0.81812608
0.01031,-0.74866386
0.01032,0.42685465
0.01033,1.30816280
0.01034,-0.84454138
0.01035,-0.22463525
0.01036,0.25466319
0.01037,0.49074772
0.01038,-0.81508673
0.01039,-1.09447868
0.01040,0.32872989
0.01041,0.76629419
0.01042,-1.52900321
0.01043,-0.72344884
0.01044,1.20539256
0.01045,-0.14181004
0.01046,-1.58094751
0.01047,-0.27433693
0.01048,0.92160278
0.01049,0.42491785
0.01050,-0.79260354
0.01051,-0.64416357
0.01052,1.97530095
0.01053,-0.20481361
0.01054,-1.53460664
0.01055,-0.15510632
0.01056,1.35085736
0.01057,-1.52859937
0.01058,-1.00696571
0.01059,1.16534747
0.01060,1.59310504
0.01061,0.09805684
0.01062,-1.02337702
0.01063,0.14404952
0.01064,1.61900791
0.01065,-0.89661674
0.01066,-0.39174685
0.01067,0.98434837
0.01068,0.72761164
0.01069,-0.68577948
0.01070,-0.78412741
0.01071,-0.18345386
0.01072,1.54045394
0.01073,-0.73239993
0.01074,-0.65651817
0.01075,1.49141934
0.01076,1.26565440
0.01077,-1.09110399
0.01078,-1.29820880
0.01079,1.68851952
0.01080,0.34211895
0.01081,-0.87709716
0.01082,-0.27051785
0.01083,1.14637829
0.01084,-0.07167580
0.01085,-0.99772262
0.01086,-1.02461547
0.01087,1.08088397
0.01088,0.46422048
0.01089,-1.58291267
0.01090,-0.90411206
0.01091,1.65115196
0.01092,0.27712602
0.01093,-0.67869643
0.01094,-0.01188224
0.01095,1.04372009
0.01096,0.19397308
0.01097,-1.35437363
0.01098,0.97123831
0.01099,0.95008719
0.01100,-0.78200137
0.01101,-1.40210435
0.01102,0.49545103
0.01103,0.60071179
0.01104,-0.69619101
0.01105,-0.40859381
0.01106,0.24625554
0.01107,1.19273359
0.01108,0.40655923
0.01109,-1.60926121
0.01110,0.77660765
0.01111,0.64443880
0.01112,-0.54560060
0.01113,-0.05603022
0.01114,1.07570704
0.01115,1.22626054
0.01116,-0.94026807
0.01117,-0.77293516
0.01118,1.39144591
0.01119,0.76604908
0.01120,-1.61370630
0.01121,-1.12766576
0.01122,1.52466398
0.01123,1.34076826
0.01124,-0.31751515
0.01125,0.16808187
0.01126,1.55948269
0.01127,0.12838293
0.01128,-1.51126815
0.01129,0.26964804
0.01130,1.11032992
0.01131,-0.32825648
0.01132,-1.52081091
0.01133,-0.07984114
0.01134,1.51881487
0.01135,0.22841915
0.01136,-1.31891618
0.01137,0.36952049
0.01138,0.84925968
0.01139,0.66487861
0.01140,-0.86920224
0.01141,1.17590644
0.01142,0.46677720
0.01143,-1.03826876
0.01144,-1.41551697
0.01145,0.48973779
0.01146,1.37121335
0.01147,-0.39331834
0.01148,-0.73631458
0.01149,-0.23354495
0.01150,0.83797511
0.01151,-0.87306674
0.01152,-1.13257776
0.01153,1.60240530
0.01154,1.03145838
0.01155,-0.62636491
0.01156,-0.59036874
0.01157,0.71065699
0.01158,-0.57511285
0.01159,-0.82985743
0.01160,-0.67685428
0.01161,1.51384962
0.01162,0.42691343
0.01163,-2.09866646
0.01164,-0.50524192
0.01165,0.57295047
0.01166,0.05201505
0.01167,-0.53460814
0.01168,-0.81400562
0.01169,1.80557844
0.01170,-0.08201956
0.01171,-1.63426626
0.01172,0.31375186
0.01173,1.04877884
0.01174,0.56651974
0.01175,0.12180830
0.01176,-0.52231099
0.01177,1.11632192
0.01178,-0.16649417
0.01179,-0.75323590
0.01180,-0.58421510
0.01181,1.17847126
0.01182,-0.70635545
0.01183,-0.81683926
0.01184,0.28786725
0.01185,1.28688341
0.01186,-0.61382138
0.01187,-0.84567955
0.01188,0.54000790
0.01189,1.01395572
0.01190,-0.75879661
0.01191,-0.75420131
0.01192,1.36841847
0.01193,0.58228638
0.01194,-0.83303085
0.01195,-0.13140567
0.01196,0.96367714
0.01197,1.79826083
0.01198,0.04919759
0.01199,-1.31712992
0.01200,0.55315139
0.01201,-0.16802107
0.01202,-2.56635169
0.01203,-0.48302917
0.01204,1.36785050
0.01205,0.60081116
0.01206,-1.61547439
0.01207,0.38981550
0.01208,0.67739838
0.01209,0.03389009
0.01210,-1.19896428
0.01211,0.60131850
0.01212,1.61678500
0.01213,-0.06539881
0.01214,-1.40646012
0.01215,0.49806802
