t,U
0.00709,0.98967545
0.00710,-0.39419227
0.00711,-0.27769500
0.00712,0.53491257
0.00713,1.28784175
0.00714,-0.04447630
0.00715,-1.09796822
0.00716,1.22794086
0.00717,1.67569229
0.00718,-0.74519865
0.00719,-1.51955916
0.00720,0.08930792
0.00721,1.40181917
0.00722,-1.39960151
0.00723,-1.75341937
0.00724,1.72018537
0.00725,1.02469410
0.00726,-0.93758590
0.00727,0.45375260
0.00728,0.89005765
0.00729,0.87258127
0.00730,-1.01755872
0.00731,-0.19271545
0.00732,0.58114477
0.00733,1.12518767
0.00734,-1.48849944
0.00735,0.00019551
0.00736,0.57660707
0.00737,-0.52057380
0.00738,-1.19551373
0.00739,0.42295247
0.00740,0.73068291
0.00741,-0.09445495
0.00742,-1.46472635
0.00743,0.06454880
0.00744,1.57956223
0.00745,-0.43979165
0.00746,-0.25324618
0.00747,0.41621279
0.00748,1.44322064
0.00749,-0.45989603
0.00750,-1.10901228
0.00751,0.27745073
0.00752,1.74665184
0.00753,-0.63440736
0.00754,-1.93788239
0.00755,0.90031060
0.00756,0.89310465
0.00757,-0.41581294
0.00758,-1.12834836
0.00759,0.64733897
0.00760,1.28475667
0.00761,-1.12145927
0.00762,-0.29974631
0.00763,1.30972735
0.00764,0.80099299
0.00765,-1.77974417
0.00766,-1.33285292
0.00767,-0.48082562
0.00768,0.48811297
0.00769,-1.48228367
0.00770,-1.16963690
0.00771,0.94837628
0.00772,0.31741685
0.00773,-1.65934342
0.00774,-0.67429146
0.00775,1.73266250
0.00776,0.41784706
0.00777,-2.34604840
0.00778,-0.21932794
0.00779,0.66767948
0.00780,-0.58743795
0.00781,-1.82211596
0.00782,0.42713627
0.00783,1.00044310
0.00784,-0.48999031
0.00785,-1.44392453
0.00786,0.05520649
0.00787,1.17262367
0.00788,-0.27481732
0.00789,-1.59926941
0.00790,0.42723129
0.00791,0.79653895
0.00792,0.04392547
0.00793,-1.03639318
0.00794,0.00349462
0.00795,0.30626073
0.00796,-1.71141363
0.00797,-1.12450065
0.00798,0.09485369
0.00799,-0.46952580
0.00800,0.04507445
0.00801,-1.13491464
0.00802,1.56745935
0.00803,0.74521444
0.00804,-0.14403099
0.00805,0.28337885
0.00806,1.83178194
0.00807,1.42174654
0.00808,-0.57802671
0.00809,-0.43757428
0.00810,0.26009147
0.00811,0.09792467
0.00812,-0.67467482
0.00813,-0.10210239
0.00814,0.60155664
0.00815,-0.78100081
0.00816,-1.10962883
0.00817,0.27040955
0.00818,1.08643094
0.00819,1.20298989
0.00820,-1.07284352
0.00821,0.87871016
0.00822,1.40927504
0.00823,0.12566349
0.00824,-2.00308936
0.00825,0.41686699
0.00826,1.58555901
0.00827,0.10041150
0.00828,-1.15913198
0.00829,0.87878280
0.00830,1.33796023
0.00831,-0.37227214
0.00832,-0.75967329
